진료과,병원명,주소,평점,의사,온라인 예약 여부,의사 평점,리뷰수,병원링크,평점구간
안과,이인섭안과의원,서울특별시 성북구 동소문로 125,9.2,"['이인섭', '김주연', '이지환']",False,"['9.2', '9.5', '9.0']",21,https://www.modoodoc.com/hospital/10743/%EC%9D%B4%EC%9D%B8%EC%84%AD%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EB%8F%99%EC%84%A0%EB%8F%994%EA%B0%80,"[9.0, 9.5)"
안과,성모안과의원,서울특별시 성북구 보문로 163 5층 (삼선동5가),8.8,['이경희'],False,['8.8'],32,https://www.modoodoc.com/hospital/8219/%EC%84%B1%EB%AA%A8%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%82%BC%EC%84%A0%EB%8F%995%EA%B0%80,"[8.5, 9.0)"
안과,서울아이센터안과의원,서울특별시 성북구 동소문로 118 지상2층 (동선동1가),8.7,"['김용식', '김성호']",False,"['8.7', '8.8']",32,https://www.modoodoc.com/hospital/7919/%EC%84%9C%EC%9A%B8%EC%95%84%EC%9D%B4%EC%84%BC%ED%84%B0%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EB%8F%99%EC%84%A0%EB%8F%991%EA%B0%80,"[8.5, 9.0)"
안과,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",0.0,['학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원) 원장'],False,['0.0'],0,https://www.modoodoc.com/hospital/81683/%ED%95%99%EA%B5%90%EB%B2%95%EC%9D%B8-%EA%B3%A0%EB%A0%A4%EC%A4%91%EC%95%99%ED%95%99%EC%9B%90-%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EB%B3%91%EC%9B%90%EC%95%88%EC%95%94%EB%B3%91%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%95%88%EC%95%94%EB%8F%995%EA%B0%80,"[0.0, 0.5)"
안과,한국안과의원,서울특별시 성북구 정릉로 251 지상3층 (정릉동),7.8,['손혁우'],False,['7.8'],16,https://www.modoodoc.com/hospital/12282/%ED%95%9C%EA%B5%AD%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%A0%95%EB%A6%89%EB%8F%99,"[7.5, 8.0)"
안과,중앙의원,서울특별시 성북구 장월로1길 17 1층 (상월곡동),7.3,['중앙의원 원장'],False,['7.3'],2,https://www.modoodoc.com/hospital/11440/%EC%A4%91%EC%95%99%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC,"[7.0, 7.5)"
안과,명안과의원,서울특별시 성북구 오패산로 49 301호 (하월곡동),8.8,['명안과의원 원장'],False,['8.8'],24,https://www.modoodoc.com/hospital/6636/%EB%AA%85%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%ED%95%98%EC%9B%94%EA%B3%A1%EB%8F%99,"[8.5, 9.0)"
안과,이홍수안과의원,서울특별시 성북구 동소문로 231 (길음동),8.5,['이홍수안과의원 원장'],False,['8.5'],19,https://www.modoodoc.com/hospital/10858/%EC%9D%B4%ED%99%8D%EC%88%98%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EA%B8%B8%EC%9D%8C%EB%8F%99,"[8.5, 9.0)"
안과,김안과의원,서울특별시 성북구 화랑로 87 지상6층 (하월곡동),7.8,['김안과의원 원장'],False,['7.8'],10,https://www.modoodoc.com/hospital/5329/%EA%B9%80%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%ED%95%98%EC%9B%94%EA%B3%A1%EB%8F%99,"[7.5, 8.0)"
안과,김앤김안과의원,서울특별시 성북구 동소문로7길 3 (동소문동1가),8.4,['김앤김안과의원 원장'],False,['8.4'],48,https://www.modoodoc.com/hospital/5332/%EA%B9%80%EC%95%A4%EA%B9%80%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EB%8F%99%EC%86%8C%EB%AC%B8%EB%8F%991%EA%B0%80,"[8.0, 8.5)"
안과,햇살좋은안과의원,서울특별시 성북구 동소문로 92 7층 (동소문동5가),8.5,['햇살좋은안과의원 원장'],False,['8.5'],76,https://www.modoodoc.com/hospital/12501/%ED%96%87%EC%82%B4%EC%A2%8B%EC%9D%80%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EB%8F%99%EC%86%8C%EB%AC%B8%EB%8F%995%EA%B0%80,"[8.5, 9.0)"
안과,강안과의원,서울 성북구 정릉로 326,7.7,['강신언'],False,['7.7'],11,https://www.modoodoc.com/hospital/13524/%EA%B0%95%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC,"[7.5, 8.0)"
안과,서울맑은눈안과의원,서울 성북구 종암로 122 스타벅스 2층,8.5,['조항진'],False,['8.5'],57,https://www.modoodoc.com/hospital/7817/%EC%84%9C%EC%9A%B8%EB%A7%91%EC%9D%80%EB%88%88%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%A2%85%EC%95%94%EB%8F%99,"[8.5, 9.0)"
안과,JHW가인안과의원 강북센타,"서울특별시 성북구 동소문로 248 105동 1층 (길음동, 삼부아파트 상가 11호외 31필지))",6.9,['김도균'],False,['6.9'],15,https://www.modoodoc.com/hospital/4539/jhw%EA%B0%80%EC%9D%B8%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EA%B0%95%EB%B6%81%EC%84%BC%ED%83%80-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EA%B8%B8%EC%9D%8C%EB%8F%99,"[6.5, 7.0)"
안과,좋은안과의원,서울 성북구 돌곶이로 59 4층,9.4,['좋은안과의원 원장'],False,['9.4'],22,https://www.modoodoc.com/hospital/67299/%EC%A2%8B%EC%9D%80%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%84%9D%EA%B4%80%EB%8F%99,"[9.0, 9.5)"
안과,새봄안과의원,서울 성북구 길음로 20,9.1,['새봄안과의원 원장'],False,['9.1'],11,https://www.modoodoc.com/hospital/13521/%EC%83%88%EB%B4%84%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC,"[9.0, 9.5)"
안과,조은안과의원,서울특별시 성북구 보국문로 40-3 2층 (정릉동),8.5,['한석재'],False,['8.5'],27,https://www.modoodoc.com/hospital/11323/%EC%A1%B0%EC%9D%80%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%A0%95%EB%A6%89%EB%8F%99,"[8.5, 9.0)"
안과,오안과의원,서울 성북구 화랑로 248 7층,8.0,['오안과의원 원장'],False,['8.0'],18,https://www.modoodoc.com/hospital/10013/%EC%98%A4%EC%95%88%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%84%9D%EA%B4%80%EB%8F%99,"[8.0, 8.5)"
치과,로뎀나무치과의원,"서울특별시 성북구 길음로 33 상가B동 지하1층 11,12호 (길음동)",9.0,['정해용'],False,['9.0'],1,https://www.modoodoc.com/hospital/924/%EB%A1%9C%EB%8E%80%EB%82%98%EB%AC%B4%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EA%B8%B8%EC%9D%8C%EB%8F%99/?#HospitalHiraPriceSection,"[9.0, 9.5)"
